International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&ord=CR&vo=0&v=H&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 22 2019 19:31:02 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.2255,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.9,0.8,0.8,0.9,1,1,1,1,0.5,0.5,0.42304987620171,0.47643241162906,0.51636234889754,0.50570020308302,0.58338180654417,0.55759936744925
,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.42067,0.4,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.7,1.7,1.7,2.1,2.4,2.5,3,3.3075948396902,3.4036176752227,4.5002326672259,5.1001147049424,4.7229903312748,4.3720448232311,4.5386104288903,4.8407673993015,5.4052921722719,5.4356644694809
,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.5307,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.7,0.52713553850744,0.5592539267174,0.58039183206643,0.74755541922247,0.62461362831321,0.7949815955841
,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.0044596128368405,0.024994635559654,0.031310887553426,0.028733451734322,0.025614425886528,0.03278700481515,0.031214697357839,0.061426482720338,0.062401163725619,0.059869050339616,0.10706905033962,0.10677905033962,0.1122566219279,0.09070883545545,0.11876658018986,0.13402223381234,0.14864114207311,0.15091194439291,0.13645069947319,0.13926374087828,0.14322744881614,0.15231290279576,0.2681095288998,0.24116261444035,0.20788267130848,0.28332784503722,0.28988228804039,0.23282479410764,0.28937384182696,0.40754321336041,0.46002226345509,0.50925667441321,0.60567581643612,0.57567117048809,0.58356037554623,0.58522957386894,0.58046027276198
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,4.460406496,4.63953927,4.03668,4.440502,4.2889733333333,3.7805673333333,3.8397373333333,3.7382093333333,4.1050206666667,4.7764173333333,5.088644,4.9764173333333,6.2630344303375,6.7491392885343,8.1892349556605,7.6887312812336,7.3281522588834,7.9960008975843,7.5757186158135,8.7163849264275,9.2396237401474,8.0326407376129,9.3515763363597,11.749222360045,11.717209338886,11.576642254656,12.771793376339,12.969004904461,14.006734823287,12.988385389139,13.580177990876,13.720142138847,15.902633398362,16.260285908301,16.54482213649,15.993869866044,17.994768699389
,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,--,--,--,--,--,--,--,--,--,--,--,--,8.4557838255136,6.0738017383828,5.9469058219282,9.9866750454663,4.7673297502671,10.349730952597,13.108146440602,12.817986590426,14.590383108722,14.427198380512,15.01614570681,13.506542707488,12.478601959882,11.006871313785,11.128030189499,11.376002470729,12.588541428377,15.182089879748,16.834498316975,19.774144393007,18.110357422074,17.218004526366,17.863734323198,17.973540389211,18.566236464891
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,1.2344712202393,1.291758843984,1.260512330433,1.2441714950219,1.2316109954788,1.5331193370037,1.6570048779475,1.7859672057895,2.086715660112,2.2909312088653,2.576298633103,2.6163486651653,3.2569749732365,3.0612913911647,2.9982642191114,3.0326017987299,2.7300844614772,2.7981029583072,3.0640262543855,2.8099496876443,3.8722939755292,3.5225887452669,3.5007101082421,3.3014370799611,3.7511099743845,4.0702227424264,3.8976554225889,3.8346318433734,3.6462306117255,3.974526611922,3.4478050208241,3.3882699148849,3.2190570822309,4.3333897351834,4.7014622256553,5.8188784980964,5.7834276757818
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,186.48513384496,177.0677266837,173.19342197194,164.63535443908,181.6759511522,195.12375656152,216.01608066744,222.81731340798,223.10492488833,231.20397992486,243.71443541667,251.43018128297,244.86269054008,264.73731038597,278.79526045731,299.3294933361,317.09142138868,334.04342831492,331.33643217728,344.24991634546,354.55950858842,358.95990366625,355.39576932958,356.35231741565,365.42530464195,380.48306009158,394.10070544271,412.06493748988,437.01120024122,414.96765187856,473.77423344289,485.6554493402,504.12948014099,529.96010661683,556.36237045413,541.14900365678,492.54111060812
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,5.230517648,5.5900567466667,5.7857980853333,4.8861763093333,4.4708899626667,5.0310420946667,3.42328122,5.128912764,4.649215624,5.228912764,4.5203940373333,3.2368218,3.1429587666667,2.9514095863,2.9135411632,3.4976504956,3.486551408542,3.7027759480987,3.2433065006307,3.640230300108,3.757935894345,4.2483758703325,4.8761390395965,5.1938446338335,5.8235198079,6.6101357742825,9.8274220167605,10.352646123391,10.53382588423,7.2407682027935,8.491259800834,8.7743080639052,8.4224081893967,7.953459403153,8.8954964598323,9.6590348546081,9.7188292820286
